dataset,official_source,official_acc,official_cost,official_lat,variant_acc,variant_cost,variant_lat,delta_acc_variant_minus_official,delta_cost_variant_minus_official,delta_lat_variant_minus_official,headline_outcome
arc_challenge,real_eval_locked,0.9706161137440757,0.00022593548183252876,2.1113970858979187,0.922274881517,2.1343223e-05,1.579452800223,-0.04834123222707576,-0.00020459225883252876,-0.5319442856749188,official_acc_better_tradeoff_mixed
hellaswag,best_cfg_full,0.8522222222223332,0.0023456821816666665,11.802369065373,0.770740740741,0.002215932367,18.375323854729,-0.08148148148133327,-0.00012974981466666634,6.572954789356,official_acc_better_tradeoff_mixed
humaneval,real_eval_locked,0.9774774774774775,0.0022730283783783697,8.238771420341354,0.927927927928,0.000475972185,14.751153765498,-0.049549549549477434,-0.0017970561933783697,6.512382345156645,official_acc_better_tradeoff_mixed
mmlu,real_eval_locked,0.8959259259259259,0.001743893540740729,4.3738101313732285,0.772592592593,0.000151107093,4.319594634992,-0.12333333333292595,-0.001592786447740729,-0.05421549638122869,official_acc_better_tradeoff_mixed
winogrande,best_cfg_full,0.8878177037686666,0.000935709723,4.282825975642333,0.712825007304,3.6346407e-05,1.978224107337,-0.17499269646466664,-0.000899363316,-2.3046018683053333,official_acc_better_tradeoff_mixed
