dataset,official_source,official_acc,official_cost,official_lat,variant_acc,variant_cost,variant_lat,delta_acc_variant_minus_official,delta_cost_variant_minus_official,delta_lat_variant_minus_official,headline_outcome
arc_challenge,real_eval_locked,0.9706161137440757,0.00022593548183252876,2.1113970858979187,0.926698262243,2.1354028e-05,1.568886749364,-0.043917851501075744,-0.00020458145383252875,-0.5425103365339188,official_acc_better_tradeoff_mixed
hellaswag,best_cfg_full,0.8522222222223332,0.0023456821816666665,11.802369065373,0.8,0.001820568707,9.669417013592,-0.05222222222233319,-0.0005251134746666664,-2.1329520517810003,official_acc_better_tradeoff_mixed
humaneval,real_eval_locked,0.9774774774774775,0.0022730283783783697,8.238771420341354,0.894144144144,9.5702027e-05,2.662271184427,-0.08333333333347748,-0.00217732635137837,-5.576500235914354,official_acc_better_tradeoff_mixed
mbpp,paper_main_v1,0.9247311827956989,0.002580655258285621,8.184373116346732,0.924731182796,0.002535184575,11.442244464235,3.0109248427834245e-13,-4.547068328562094e-05,3.2578713478882673,variant_acc_better_tradeoff_mixed
mmlu,real_eval_locked,0.8959259259259259,0.001743893540740729,4.3738101313732285,0.743703703704,0.000178000056,1.990974545832,-0.15222222222192594,-0.001565893484740729,-2.3828355855412284,official_acc_better_tradeoff_mixed
winogrande,best_cfg_full,0.8878177037686666,0.000935709723,4.282825975642333,0.7131171487,2.9066564e-05,1.833889938258,-0.17470055506866666,-0.000906643159,-2.4489360373843327,official_acc_better_tradeoff_mixed
