dataset,official_source,n_tasks,official_minus_variant_acc_mean,official_minus_variant_acc_ci_low,official_minus_variant_acc_ci_high,official_minus_variant_cost_mean,official_minus_variant_cost_ci_low,official_minus_variant_cost_ci_high,official_minus_variant_lat_mean,official_minus_variant_lat_ci_low,official_minus_variant_lat_ci_high,official_acc_better_sig,official_cost_lower_sig,official_lat_lower_sig,headline_outcome
humaneval,real_eval_locked,148,0.09684684684684686,0.04954954954954955,0.14864864864864866,0.0020772703828828747,0.0014239238907657575,0.002850882176238731,4.560414454958461,3.280850415267386,5.957677845643446,1,0,0,official_acc_sig
mbpp,paper_main_v1,341,0.04594330400782014,0.019550342130987292,0.07331378299120235,0.0008645759628543501,0.0005611463352883676,0.0011756216994134895,-13.533944164902584,-14.920001839327092,-12.274487859272886,1,0,1,official_acc_sig
