dataset,method,n_seeds,acc_mean,acc_std,cost_mean,cost_std,lat_mean,lat_std,n_present_mean,n_total
gsm8k,TrustRoute-NoCost,3,0.8820375335120643,0.002527638181185158,0.002289598197795651,1.8105682780432813e-05,11.110079703957402,0.14508318040836107,1119.0,1119.0
gsm8k,TrustRoute-NoCostAware,3,0.8820375335120643,0.001263819090592579,0.0022921195561513255,1.4531148801328913e-05,11.076274221696986,0.07322294175942308,1119.0,1119.0
hellaswag,TrustRoute-NoCost,3,0.8381481481481482,0.06879523701891245,0.0007757746185185185,0.00014662047643934162,11.846319400027946,1.8073035213732278,900.0,900.0
hellaswag,TrustRoute-NoCostAware,3,0.7140740740740741,0.0018885257457751103,0.0028787406296296295,6.732590551514966e-05,12.946431210217654,0.7738498547988695,900.0,900.0
mmlu,TrustRoute-NoCost,3,0.8533333333333334,0.025288459281646778,0.0009557581900879296,0.0007581531279892328,6.120956136435787,1.5657287060617064,878.0,900.0
mmlu,TrustRoute-NoCostAware,3,0.7285185185185185,0.001047565601757855,0.0004056863703703704,6.604404868696125e-05,2.9771356182628206,0.2903233898163063,900.0,900.0
winogrande,TrustRoute-NoCost,3,0.8898626935436752,0.01541997454910508,0.0005068539655539902,0.00013828990466455978,7.587792848957915,0.45267803775945004,1140.3333333333333,1141.0
winogrande,TrustRoute-NoCostAware,3,0.7166228454572012,0.003941202910672504,6.652475898334793e-05,1.026064402002302e-05,1.3157917353412474,0.04380737821324764,1141.0,1141.0
