dataset,official_source,official_acc,official_cost,official_lat,variant_acc,variant_cost,variant_lat,delta_acc_variant_minus_official,delta_cost_variant_minus_official,delta_lat_variant_minus_official,headline_outcome
arc_challenge,real_eval_locked,0.9706161137440757,0.00022593548183252876,2.1113970858979187,0.918799368088,2.1366161e-05,1.592741450088,-0.05181674565607575,-0.00020456932083252877,-0.5186556358099188,official_acc_better_tradeoff_mixed
hellaswag,best_cfg_full,0.8522222222223332,0.0023456821816666665,11.802369065373,0.811111111111,0.002373733873,20.12127982906,-0.041111111111333254,2.805169133333332e-05,8.318910763687,official_3d_dominates_variant
humaneval,real_eval_locked,0.9774774774774775,0.0022730283783783697,8.238771420341354,0.932432432432,0.000470622428,14.107543379056,-0.04504504504547746,-0.0018024059503783697,5.868771958714646,official_acc_better_tradeoff_mixed
mbpp,paper_main_v1,0.9247311827956989,0.002580655258285621,8.184373116346732,0.923753665689,0.001794602613,29.798840042293,-0.0009775171066989108,-0.0007860526452856211,21.614466925946267,official_acc_better_tradeoff_mixed
mmlu,real_eval_locked,0.8959259259259259,0.001743893540740729,4.3738101313732285,0.816296296296,0.000251308764,6.838029830103,-0.07962962962992592,-0.001492584776740729,2.4642196987297718,official_acc_better_tradeoff_mixed
winogrande,best_cfg_full,0.8878177037686666,0.000935709723,4.282825975642333,0.715746421268,3.0402327e-05,1.92209385608,-0.1720712825006666,-0.000905307396,-2.360732119562333,official_acc_better_tradeoff_mixed
