dataset,official_source,official_acc,official_cost,official_lat,variant_acc,variant_cost,variant_lat,delta_acc_variant_minus_official,delta_cost_variant_minus_official,delta_lat_variant_minus_official,headline_outcome
arc_challenge,real_eval_locked,0.9706161137440757,0.00022593548183252876,2.1113970858979187,0.928909952607,6.775237e-05,2.681917054808,-0.041706161137075703,-0.00015818311183252875,0.570519968910081,official_acc_better_tradeoff_mixed
humaneval,real_eval_locked,0.9774774774774775,0.0022730283783783697,8.238771420341354,0.961711711712,0.000672816104,18.325172846382,-0.015765765765477502,-0.0016002122743783696,10.086401426040645,official_acc_better_tradeoff_mixed
mbpp,paper_main_v1,0.9247311827956989,0.002580655258285621,8.184373116346732,0.86412512219,0.001637015396,18.961818560361,-0.06060606060569884,-0.000943639862285621,10.777445444014267,official_acc_better_tradeoff_mixed
