dataset,method,source,n_seeds,acc_mean,acc_std,cost_mean,cost_std,lat_mean,lat_std,n_present_mean,n_total
arc_challenge,TrustRoute,real_eval_locked,3,0.9706161137440757,0.001547860816924615,0.00022593548183252876,1.1662781439985218e-05,2.1113970858979187,0.025344004271090573,1055.0,1055.0
gsm8k,TrustRoute,paper_main_v1,3,0.8927613941018766,0.0019305155491235592,0.0022901871434905193,1.2924679367407496e-05,13.247450216995835,0.13592784526439222,1118.6666666666667,1119.0
hellaswag,TrustRoute,best_cfg_full,3,0.8522222222222222,0.0746514534766259,0.0023456821814814813,0.0008993416141932335,11.802369065373034,6.534666024174824,900.0,900.0
humaneval,TrustRoute,real_eval_locked,3,0.9774774774774775,0.0031851656810204516,0.0022730283783783697,0.00013404167122929543,8.238771420341354,0.15194209728912342,148.0,148.0
mbpp,TrustRoute,paper_main_v1,3,0.9247311827956989,0.002764835899067632,0.002580655258285621,0.0009819986198985628,8.184373116346732,0.04944019082938225,339.3333333333333,341.0
mmlu,TrustRoute,real_eval_locked,3,0.8959259259259259,0.00499656946786373,0.001743893540740729,0.000210039573519816,4.3738101313732285,0.6097450360084518,900.0,900.0
winogrande,TrustRoute,best_cfg_full,3,0.887817703768624,0.003984277445803653,0.0009357097228782589,0.00021937639512158565,4.282825975642419,0.8875046404211631,1140.6666666666667,1141.0
