dataset,official_source,official_acc,official_cost,official_lat,variant_acc,variant_cost,variant_lat,delta_acc_variant_minus_official,delta_cost_variant_minus_official,delta_lat_variant_minus_official,headline_outcome
arc_challenge,real_eval_locked,0.9706161137440757,0.00022593548183252876,2.1113970858979187,0.922906793049,2.1337346e-05,1.585742619064,-0.04770932069507572,-0.00020459813583252877,-0.5256544668339187,official_acc_better_tradeoff_mixed
humaneval,real_eval_locked,0.9774774774774775,0.0022730283783783697,8.238771420341354,0.934684684685,0.000483606869,15.460742902648,-0.042792792792477496,-0.0017894215093783698,7.221971482306646,official_acc_better_tradeoff_mixed
mbpp,paper_main_v1,0.9247311827956989,0.002580655258285621,8.184373116346732,0.909090909091,0.003325367449,22.286378804074,-0.015640273704698893,0.000744712190714379,14.102005687727269,official_3d_dominates_variant
