dataset,n_total,stop_at_1_rate,escalation_rate,stage1_accepted_accuracy,escalated_subset_accuracy,net_acc_gap_escalated_minus_stage1,stage1_mean_cost,stage1_mean_latency,escalated_mean_cost,escalated_mean_latency,escalated_extra_cost_vs_stage1,escalated_extra_latency_vs_stage1
arc_challenge,1172.0,0.9886234357224118,0.011376564277588168,0.9722047380891641,0.8341880341880342,-0.13801670390112986,0.0001931077087427643,2.0247434706867833,0.004227035714285693,11.842167191089146,0.004033928005542928,9.817423720402363
humaneval,164.0,0.9085365853658537,0.09146341463414635,0.9751419732304781,0.8087912087912089,-0.16635076443926922,0.0009750096347521942,5.8626850575376,0.013831751388888869,29.330868642670765,0.012856741754136675,23.468183585133165
mbpp,378.0,0.9788359788359787,0.021164021164021163,0.9375644994840041,0.1111111111111111,-0.8264533883728931,0.002506607588491839,7.884553921145827,0.004338697878787879,18.6005660981843,0.00183209029029604,10.716012177038472
gsm8k,1319.0,0.00025271670457417233,0.9997472832954258,0.0,0.8930267728821254,0.8930267728821254,0.00012064999999999998,2.7991058826446533,0.0025605490885056846,14.012126341487194,0.0024398990885056847,11.213020458842541
hellaswag,900.6666666666666,0.3855555555555556,0.6144444444444445,0.5881796690307328,0.8092806634062472,0.22110099437551434,0.001018358108747045,2.415379896391997,0.0032107779545643834,16.078143215370584,0.002192419845817338,13.662763318978588
mmlu,1000.0,0.9936666666666666,0.006333333333333333,0.8961611151728569,0.6153846153846154,-0.2807764997882415,0.0017386147231770654,4.141833993281019,0.003651558541666646,28.02244570851326,0.0019129438184895806,23.88061171523224
winogrande,1141.0,0.9713701431492843,0.028629856850715747,0.892762581349302,0.782051282051282,-0.11071129929801993,0.0008713353743127931,3.5617186088569386,0.0024711459340659337,30.64368117799907,0.0015998105597531407,27.08196256914213
